token_id,rarity.rank,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
9714,5904,Gray,Lumberjack Shirt,Silver Stud,Bloodshot,Black,,Bored Unshaven Cigarette
9680,8059,Aquamarine,Hawaiian,,Closed,Brown,S&m Hat,Bored Unshaven
9733,1630,Gray,Black Holes T,Silver Hoop,Bored,White,Halo,Phoneme  ooo
9713,7258,Yellow,Puffy Vest,,Bloodshot,Black,,Bored Unshaven Pipe
9692,1810,Purple,Blue Dress,,Cyborg,Golden Brown,Beanie,Phoneme Vuh
9732,7728,Gray,Bayc T Red,,Scumbag,Gray,,Bored
9712,8824,Yellow,Vietnam Jacket,,Closed,Dark Brown,Seaman's Hat,Bored
9679,9736,Purple,,,Closed,Dark Brown,Bowler,Bored
9691,7211,New Punk Blue,,,3d,Gray,King's Crown,Bored Unshaven
9711,6867,Purple,Sleeveless Logo T,,Sleepy,Tan,,Small Grin
9731,8296,Gray,,Silver Hoop,Sleepy,Brown,Fisherman's Hat,Bored Unshaven
9678,8482,Blue,Sailor Shirt,,Closed,Brown,,Phoneme Oh
9690,3752,Orange,Bandolier,Gold Stud,Closed,Death Bot,,Bored
9710,5510,Orange,Tanktop,,Sunglasses,Dark Brown,,Bored Kazoo
9730,6733,Purple,,,Wide Eyed,White,Safari,Dumbfounded
9677,5743,Orange,Sailor Shirt,,Wide Eyed,Dark Brown,,Bored Unshaven Party horn
9689,7450,Blue,Black T,,Bloodshot,Black,Seaman's Hat,Bored Unshaven Cigarette
9729,6086,Gray,Lumberjack Shirt,,Hypnotized,Dark Brown,Bunny Ears,Bored
9709,5277,Aquamarine,Lumberjack Shirt,,Blindfold,Dark Brown,Commie Hat,Grin
